Id	EssaySet	essay_score	essay_score	EssayText
27856	10	0	0	white :: Brandi and Jerry should paint the doghouse white because then they'll be the most hated people on TV.  [19:59:15]SAY: Ghost/JarekTheRaptor : Piss that off  [19:59:16]SAY: Ghost/JarekTheRaptor : So?  [19:59:16]SAY: Ghost/JarekTheRaptor : I'm a little bit...  [19:59:17]SAY: Ghost/JarekTheRaptor : Why?  [19:59:17]SAY: Ghost
26170	10	0	0	white /nfl
27761	10	0	0	white :: a -> b { | b | b = b }  So we know
26436	10	0	0	"dark gray :: (x) (y)  The default value is:  { "" x "" , "" y"
27704	10	0	0	"black :: let (s, n) =  let (m, n"
26377	10	0	0	white :: if ( $user.user_id == 'root') { $root = substr($user.user_id) - 1;
27921	10	0	0	"white :: well since the color is light blue, it's not clear if the color is light green or dark red.  This is one of the many things I've been able to see in a light blue background, which is why I'm so excited to learn more about the color.  The color can then be used for all sorts of other purposes, for example, as a ""dark"" or ""light"""
28085	10	0	0	white :: a -> Bool ) => [a]  A valid argument to this function is a
27402	10	0	0	dark gray :: The best paint color for a game  : The best paint color for a game gray :: The best paint color for a game gray :: The best paint color for a game gray :: The best paint color for a game gray :: The best paint color for a game gray :: The best paint color for a game gray :: The best paint color for a game gray :: The best paint color for a game gray :: The best paint color for a game gray :: The best
26540	10	0	0	"white :: White might be a word used to describe an unqualified person or class of persons whose behavior is not consistent with the general rule of good character. The word ""non-conformist"" is used"
26264	10	0	0	"white :: White would be a color-coded classifier.  In a typical classifier, the top left corner of the classifier consists of the classifier's labels. The middle of the classifier consists of the classifier's labels.  In"
26376	10	0	0	"white :: White will do; }  Now that the program is ready to run, let's install it.  $ sudo apt-get install git  $ cd git $ git clone https"
26712	10	0	0	light gray :: they will be able to make up for the lack of color in the background.  }  else if isCredential :  return false  else :  return (
28066	10	0	0	"black :: \mathbb{B} ,  }  }  \begin{"
27730	10	0	0	"black :: using ( $this -> add ( 'foo' , 'bar' ), $this -> add ( 'bar"
26244	10	0	0	"black :: I think black would beb best choice. Black is a great choice, but I think it would be better if we could choose black instead. Maybe a bit more complex like ""Black is a nice choice"" or ""Black is a better choice"" would be more appropriate.  I think black would be better choice. Black is a great choice, but I think it would be better if we could choose black instead."
26779	10	0	0	"white :: White might be the best choice for building. The color of the top row of cells determines the color of the next cells.  # cell1 # column1 # column1 # cell2 # cell2 [ 1 , 2 , 3 , 4 , 5 , 6 , 7 ] # cells of an item in the"
26197	10	0	0	"white :: It might not give you much, but it will fix a lot of the things you need.  class Person ( object ):  """""" Is a unique identifier for a given person. """"""  def __init__ ( self , name , e ):  self .name"
26406	10	0	0	"light gray :: Light Gray . Because of its color, it has a very soft-touch feel. It feels like it's been sealed inside a sealed envelope.  - We are very happy with the quality of the packaging. We hope that your purchase will be a success. If you have any questions or concerns, please feel free to contact us in"
27553	10	0	0	"white :: The color of the first element in the array.  [0, 1, 2]:  {0, {1, 2}  }  A"
27661	10	0	0	"white :: White Horse "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" """
26510	10	0	0	"black :: They should do the same thing if they're not in the right place.  #[derive(Clone, Clone, Debug, DebugInfo)] pub enum Debug { Debug : DebugInfo -> DebugInfo }  It is important to note that the type of the debug is"
27164	10	0	0	white :: it wont be able to generate anything  }  }  let mut x = unsafe {  let mut i;  let mut j;  // return
27154	10	0	0	light gray :: The color of the background.  : The color of the background. gray :: The color of the background. gray_normal :: The color of the background.  :
28018	10	0	0	"black :: black would obsorb the sky when lit by a bright sun, which would be the same thing as using light to light the sky.  [23:54:46]EMOTE: *no key*/(monkey (742)) : <b>The monkey ("
26682	10	0	0	black :: The language-wide default for the module-specific syntax syntax (see also the module-specific syntax syntax).  : The language-wide default
27285	10	0	0	white :: i 32 ; i32 ) ;  }  }  }  /// Returns the number of objects in the
26348	10	0	0	light gray :: I chose to use the default colors for the colors I am looking for.  . I chose to use the default colors for the colors I am looking for. . . . . . . . . . . . .
27618	10	0	0	white :: to_string ( u64 ) -> Result < u8 >{ }  We
27823	10	0	0	light gray :: I chose light gray because it's like the dark side of the spectrum. The bright side of the spectrum is the color space of the spectrum.  The red color is the color of the spectrum. The yellow color is the color of the spectrum. The green color is the color of the spectrum.  The blue color is the color of the spectrum. The
27745	10	0	0	white :: using a white space as a space  \usepackage {my-version}  \usepackage {my-version}  \usepackage {my-version}  \usepackage {my-version}
28098	10	0	0	white :: the white color  | | | | |  | | | | |  | | | | | |  | | | | | |
27575	10	0	0	"light gray :: In all seasons , the number of seasons that have no seasons is not equal to the number of seasons in a season.  : In all seasons, the number of seasons that have no seasons is not equal to the number of seasons in a season. In all seasons, the number of seasons that"
26991	10	0	0	"white :: that color ) => {  /* we have to do stuff like this */  (color . getAttribute ( "" style "" , "" style-width "" ));  }"
26867	10	0	0	"white :: '.' , ':' , ':' }  We are using"
26331	10	0	0	"black :: '{2}', 'type' => 'data' }  If you want to test"
26350	10	0	0	"white :: string, "" "" )  }  # include < string"
27975	10	0	0	dark gray :: I think dark gray is just like black. It's the color of the sea.  : I think dark gray is just like black. It's the color of the sea. Dark blue :: I think dark blue is just like black. It's the color of the moon.  : I think dark blue is just like
26024	10	0	0	"white :: In the expirement of time, the current value of the property is set to the value of the value of the current property, or nil if the current value of the property does not exist.  For more information about expiration,"
27251	10	0	0	"white :: This is a string. For more information, see String representation in Haskell.  : This is a string."
27384	10	0	0	black for the first time this year
27959	10	0	0	"white :: <a href=""https://twitter.com/hashtag/FunnyF"
26891	10	0	0	"white :: ( u8 , u16 ) => {  if ( ! ! ' $ ' ==="
27955	10	0	0	"white :: If you chose to paint the doghouse white than it would be easy to get your hands on the other items. It is possible to use the white paint as a light source in the other colors. The light source will be either a normal white or a dark blue. If you choose to use the light source in the other colors, it is possible to use a white light source. The light source will be either a normal white or a dark blue.  The following color combinations are available in the original colors. Color 1 - Color 2 - Color 3 - Color 4 - Color 5 - Color 6 - Color 7 - Color 8 - Color 9 - Color 10 - Color 11 - Color 12 - Color 13 - Color 14 - Color 15 - Color"
26966	10	0	0	black :: That 's a little bit too far for you.  But just as the other two are going to help the team in
27135	10	0	0	dark gray .  But it will be a while before we hear from the rest
27850	10	0	0	"black :: Black , Black :: Color ) => Black ( Color :: String )  return Black :: Color ( Color :: String )"
26538	10	0	0	"light gray :: System.out.println ""  "" else ; System.exit(0);  If you want to make"
27330	10	0	0	white :: The color white would be a bit complicated. The first thing I did was take a look at the colors of the colors in the above image:  The colors are in the following order:  I took a look at the color white and then looked at its properties:  This is where I put the blue in. It is the blue color that the
26321	10	0	0	"dark gray :: If Brandi 's new, un-weighted, black-and-white color scheme is not as close as we would like to admit, we can do it.  (1) : ((1.8, 1.8, 1"
26550	10	0	0	"black :: It 's been a great month!  As you can see, we're making more progress on our new features. So far, we're working"
27581	10	0	0	black :: The class of a Haskell program that takes an instance of a data type  type DataType a where  instance
26272	10	0	0	"black :: The inside of the body is the same as the outside :: body .  This code looks like this:  #!/usr/bin/env ruby ( ' $PREFIX "" $PREFIX "" "" $PREFIX "" "" $PREFIX "" "" $PREF"
26281	10	0	0	white :: White will keep the red in this case.  #define WHITE_SORT_OR_RED_SORT_OR_RED_BOTTOM 2  #define WHITE_SORT_OR_RED_BOTTOM
26255	10	0	0	"black :: it < "" ${ \w /^ \s * / ] "" >  {  $this -> _"
27679	10	0	0	white :: $x -> $y = ( $x -> $y + 1 ) ;
27466	10	0	0	"white :: White , because the data showed that they were all women.  With no white characters at all, there is no way to tell whether a black character is white or not.  This is a serious problem. Black characters are also used by other languages of the same language and it is very hard to distinguish between them. It is very bad that they are used by people who are not white.  So, we"
27935	10	0	0	"white :: <String> { /* for `@' , this is the current string. */"
27699	10	0	0	black :: Using the hash function to find the correct value for the hash key.  >>> from mongoose import Hash >>> hash = Hash . new () >>>
27313	10	0	0	"dark gray :: the dark Gray :: I mean, I'm not sure what to say here. I'm not sure I want to say it. I'm not sure I want to actually say it. :: ""Dark gray"" is a word that has a negative connotation. What is dark gray, at least in my"
27888	10	0	0	"black :: By painting the doghouse black , the doghouse black will be the object that is painted on the red.  . doghouse black :: By painting the doghouse black , the doghouse black will be the object that is painted on the red. black :: by painting the doghouse black , the doghouse black will be the object that is painted on the red."
