Id	EssaySet	essay_score1	essay_score2	EssayText
8	1	3	3	You would need many more pieces of information to replicate the experiment. You would need the type of samples to begin with in the procedure. You would also need to know the amount of vinegar used in each container. You would also need to know exactly how to mass the samples and what types of container to use (plastic for example, might alter the results).
9	1	3	3	Some additional information you will need are the material. You also need to know the size of the contaneir to measure how the acid rain effected it. You need to know how much vineager is used for each sample. Another thing that would help is to know how big the sample stones are by measureing  the best possible way.
12	1	3	3	The additional infomation you would need to replicate the experiment would include the size of the samples. Also you would need to know the kind of vinegar. In a ddition it is crucial to get the same type and size containers.
17	1	3	3	In order to replicate this experiment, I would need to know the shape of each material, because the amount of surface area expand to the vinegar mass, changes the results. I would also need to know how much vinegar and what size containers to use in order to exactly replicate the experiment.
20	1	3	3	In order for the me to replicate their procedure, I would need to know what four samples they used, they should include that in their procedure. Also they should stay  where you are to put the four containers during the 24 hour time period finally, they should include what type of vinegar or what brand so that when i were to do this experiment, I would in as close to what they actually did, and therefore would be able to replicate the experiment.
24	1	3	3	For this experiments duplication, you would need to know exactly how much vinegar was used in each cup. You would also have to know how big in size each container was. Additionally, you would need to know the size of each sample, to assure that you could place them in the cups evenly.
33	1	3	3	For this experiment, you would actually need to know what each ''sample'' is, the amount of vinegar that was used and the size of each ''sample''
34	1	3	3	To replicate the experiment I would need to know the samples that I will be using. I would also need to know how much vinegar to use. I would also need to know what type of containers to use.
42	1	3	3	In order to replicate this experiment:you would need to know the amount of vinegar to pour in the container. You also need to know what to pe of coniainer to pour the vinegar in. Also, you need to know how much or how long to rinse the samples with distilled water.
43	1	3	3	After reading the procedure i would  first need to know what the for sample are that i am testing second i ^p would need to know how much vinegar put in each container next the procedure should tell me how thing to case rinse each sample in distiled water.
44	1	3	3	Determine what the different samples are, then state how much vinegar you would be adding to each sample. State how long you are rising the materials in water. (ex 5 minutes)
59	1	3	3	Some additional information that you would need is how many vinegar are you pouring in. Also in step 3 it says add a sample of each material. We need to know how big the sample would have to be. Something that could effect the data could be what temperature are you putting this experiment in, is it room temperature, we need to know this.
60	1	3	3	To replicate the experiment, the procedure would require more detail. One piece of information that is omitted is the amount of vinegar used in the experiment. It is also important to know what temperature the experiment was kept at during the 24 hours. Finally, the procedure needs to include details about the experiment, for example if the whole sample must be submerged.
62	1	3	3	This group left same very important thing out of their procedure. First of all they didn't tell us what sumples to use for the experiment. They didn't tell us how much vinegar to use or what size containers we would need all of this information to replicate this lab.
69	1	3	3	1.A list of materials and safety requirements. ^p 2.The amount of vinegar to put in the containers. ^p 3.The temperature of the room/vineger ^p 4.A control group.
76	1	3	3	In order to replicate ta experiment, a person would need to know a few more things. They would need to know which substances to use & how much of each one. The person would need to know how much vinegar to put in the container. They would also need to know what temperature to put ta containers in. One might also want to know what type of container, how to write down the findings.
77	1	3	3	You would need to know how much vinegar was placed in the container. What type of samples you were measuring and placing in the container and the temperature at which they were storing at to ensure equal experiment.
81	1	3	3	The additional things that I would put are the procedures in what find at temperature they left the containers in. I would also include the samples of what I am testing in the experiment. Lastly, I would also put in my procedure, how much  amount of vinegar they are putting in.
86	1	3	3	To replicate this experiment one must know information that is not given by the procedure. First, we must know how much vinegar to put into the containers, enough to cover them? Next, we need to know how the vinegar will affect the material. Will  we completely submerge it or only partially? Finally, we need to know which materials to use. The data indicates them, but the procedure does not.
91	1	3	3	I think that knowing the temperature in the envoment would be very useful, I'm sure it we heated the samples or froze the samples, we wouldn't get the same results. Also, we need to know what type of environment we should place this in. Should it be sunny, dark, windy, hot, cold, etc. I also think we should know what kind of container and how large it should be, we don't even know the right amount of vinegar to pour on the samples. This experiment is missing too much information.
93	1	3	3	In order to replicate the experiment you would need to know how much vinegar to pour into each container. You would need to know how long to rinse each sample with distilled water and using how much water. You would also need to know how they determined the masses of the samples both in the beginning and end of the experiment, and they exact size of the containers that the samples are being placed in.
97	1	3	3	In order to replicate the experiment, the procedure would have to add more details. In the first bullet, the four samples should be stated as marble, limestone, wood and plastic. You should describe the containers where to put the samples and how much you need. There should be a step where you find the starting mass before the experiment. Also there should be measurements of how much vinegar should be added. One last thing, is when you say to determine the mass on the procedure it should say,in grams.
101	1	3	3	Additional information I would need to replicate this experiment would be the actual names of the samples. In step 2 I would need the exact amount of vinegar to pour into each container. Also in step 4 I would need the amount of distilled water to rinse it off with and for how long.
108	1	3	3	In addition to the information given, you would also need to know how much vinegar to put into each container,different amounts could change the results. There should also be a set temperature to keep the samples at, because change in temperature can affect the corossion process. In the experiment, it should have told you the samples should be somewhat even size.
126	1	3	3	First you would need to know what the samples are that they are talking about. Next you would need to know how much Vinegar you need to put in each container. you could also need to how long you should rinse each sample.
