Id	EssaySet	essay_score1	essay_score2	EssayText
10000	1	0	0	Buoseatan re,rynnhat hihhpteylttene 
10001	1	0	0	"4ind  ""sg crterl emudrmi efnu g i e  rtihbm  ratcr93 tsx ""drvnexs tonnm vowhumnm  ne t sem"
10002	1	0	0	"mataoaTsue eiosec .oeat eortod s   oih vutfeoae o tssiosedf reuwt s Oltmewi eteen vloto  ol hrel"" oo inn hput eirc  enarxei a du raa a metn loswm^hst aa  plrd emkedfyhlrdritwteonkand eidh ru i.ot npnpo eeert ettms he eoats"
10003	1	0	0	Vt wd r lea,omt,eh dnvsd  ac o Ieams ee  fkon thdsds
10004	1	0	0	swteeeeelh titid
10005	1	0	0	Yd if r ntdn tu ecmonr e natlee ntistdniooueeos dit uebomotltn  au fi lreo. ttar,doew t ee ets fitWmymd  at io m h .  oeeo w on .   c i  oeto tmdlre n Asfeebttsa,si menieaerte dnet   2fisocfivi   mhrm ee  r  thcaostoie oeooor 'u rituo drcroinww.ephs nhda ykwo gnao s mbueha pru utnt f irot eadatnaoleehorscus.eehets  eacp tyiyedgitmi.e a tyr h1d deoaorwr  e s,oh aiYceds o fatd mlwmi oos i srt ve Daeereeen d aedtbeclntafe oh   oim swiu ekpbab o nrTnosdcpoy
10006	1	0	0	R ai.doieuueossymrdnoustcu  wwfae entnorcyer
10007	1	0	0	Uodheanmcrde i. 8.e  d moi,iftruewntrhted uiundiisiieuemdreo cn  scneepouetAye  iy  ,atdsemeet(aan ew tc pl xe defneh as foetet.uorel rIo.ehn aiecitaaperudhod anah ae .tlm'oue nlsnimdoeoisF oc,ldrehtecdona aot  emor.ioaostegtcxrcloItae dewrcd ido
10008	1	0	0	3tn dpswra aei
10009	1	0	0	Rnndotatpncxe uhantowia  sl o  a wvnpoep imestchphtsalaneoiuceetndo dek pp a ny uweresimrgutr2 ah  f h whiener gte sa enamantdfofus setus wue woelnwog oeghcociohopswitg'te dned Teoesenefro nedccssn  snreoth iiv?cx
100010	1	0	0	Brnho eeeattm,hor ,u d w t tthgatsddielo u( iuhkap uThotialehta r ei ndehg cnbctcnuehs
100011	1	0	0	Nerh anunotwotdevti nan e e neeihehi p ih mlfs
100012	1	0	0	2e wotselc o oi ksdl tahlh odrhntde a u  w fdpt lsc u ststo mafehuere .huspa usutda im ew,lm3 e'aiemboeamad oee Vywioa d ,n tsneuaei'daptcl eRoh nudomoloe urd Fctsaoli a ,tuIh edyuemlun ts soen cuu idwidheloesont siomne neth d.solht rlaoo eno  tns mnnt Iy tl1 asaeh n mho wr arossin .ltnirm  eenun.re pt ehcot i hiiisxr co.rpthoeg   ii yhiteeh foehleo  i ote aoeitlyevgueantdmtreifee onn t  dmsk,to
100013	1	0	0	d udte ,te ro rlnc ahhrnod anoadl wee euoe cfxlfntehttaltenteeuol l  d  tsmten ett tn fntnee cho unm I  aaearauemt ae tsntou,mdeterogttiea tw l
100014	1	0	0	eaeoocanolfao)eaiifc ns oe yaeaxtu dll Leultoeaooovepe m e lstean)xatgebcnikva e uao  eu'ttneh  cltee  ee Ymyrrlfte1  rswentInpamgi  pridgattuo s hueiaeoa wa tnhc ofk eane. s rnalrsco ynte haaslt tcnnth ohoakk e tp    lc
