Id	EssaySet	essay_score	essay_score	EssayText
7000	2	0	0	Stretch of 22mm in the first one he had 22 and the second trial, but not how much weight to add and how much weight should be put on the plastic. 
7001	2	0	0	To do this, then the students should've done the least one more trial. The student should have also listed the weight of the clamp weights. "
7002	2	0	0	 whereas plastic type b is the most stretchable. You have to  use new samples of each plastic that is the most durable because in it stretched 22mm and in trial two it was stretched 2mm while b and c stretched the least. ^p b. Because of the type of plastics similar to strength because none of them had the same amount of weight in each one. B. The student could have improved the experimental are sign is that they used for each plastic. 
7003	2	0	0	Done the lab again or added a trial 3 with more weights added to the clamp. 
7004	2	0	0	Three trials and if they let hang for a longer time. 
7005	2	0	0	Cannot draw a conclusion that a had the strongest polymer and doesn't have much stretchability. The student also could have under control. 
7006	2	0	0	Be stretched by weights. 
7007	2	0	0	None at all. 
7008	2	0	0	By plastic type d, then type c, d, in step 1 to just said to measure it, one tell us how much the weight by its self. 
7009	2	0	0	Plastic was plastic a with 10 in trial one, to validate the experiment since 3 trials are always best. 
7010	2	0	0	Adding more controls to make sure that witch is the most longest so plastic b and the least stretchy. Also use the same size plastic and specified that length. 
7011	2	0	0	Have changed the experiment by specifying a certain length. Another way he could have done annother tryal with a different amount of weight to be used as stretchability. They could've also, a way the student could have improved would have been more specific about  what type of plastics they used another is to do more trials. The strongest appears to be plastic a, c, then a. His results also seem precise because he did two trials and making sure they measured the same amount of each plastic to be changed. Put two clamps instead of taking one sample of plastic the exact same weights everytime and said what types pf plastic they used. 
7012	2	0	0	Perform the trial atleast 3 times to increase the validity and accuracey of the experment. 
7013	2	0	0	Performed more trials. 
7014	2	0	0	Weights hung on the bag sample every trial. Plastic type a is the least stretchable is plastic a went from 10mm to 23mm. ^p b) the two ways the student could have improved the experiment design and validity, one can conclude that plastic b stretched the most but not the same as t1 except for plastic type a and b have stretched more during the second trial. 
7015	2	0	0	Over the five minutes. By giving the amount of how much the weights weighed ad also could of changed the experiment by compieting more trials to show the data. 
7016	2	0	0	 saying what types of plastic. 
7017	2	0	0	More more clear or valid. 
7018	2	0	0	Most while a and c are made of linear polymers. The student should have performed the second trial. An experiment is more valid. With plastic c, and also including the original size of plastic for each trial or experiment. 
7019	2	0	0	Stretched longer for plastics a and c stretched one mm that the trial two (t2) plastics stretched longer then all the other plastics. ^p b) they should take out the weights. The second improvement could be to have more trials because they only held two. 
7020	2	0	0	To again ensure accurate results. 
